customer_id,recency,frequency,monetary
CUST0001,42,1,26549
CUST0002,153,1,3304
CUST0003,279,2,2133
CUST0004,31,10,36076
CUST0005,52,2,21762
CUST0006,98,1,4379
CUST0007,326,1,2228
CUST0008,21,7,23756
CUST0009,57,3,39111
CUST0010,150,3,1292
CUST0011,299,1,227
CUST0012,40,8,37989
CUST0013,61,1,39860
CUST0014,138,3,6110
CUST0015,271,2,2233
CUST0016,9,7,42205
CUST0017,78,2,17074
CUST0018,66,2,6325
CUST0019,320,2,2208
CUST0020,21,6,39313
CUST0021,57,4,31905
CUST0022,149,3,5915
CUST0023,270,2,3676
CUST0024,11,7,36389
CUST0025,70,2,32089
CUST0026,93,2,951
CUST0027,258,2,3919
CUST0028,10,9,30816
CUST0029,40,2,34971
CUST0030,124,1,7242
CUST0031,378,2,1688
CUST0032,50,6,47874
CUST0033,110,3,23170
CUST0034,126,2,2543
CUST0035,378,2,969
CUST0036,31,10,35318
CUST0037,57,1,36147
CUST0038,141,3,1091
CUST0039,214,2,3856
CUST0040,42,6,49228
CUST0041,100,4,16927
CUST0042,163,3,2443
CUST0043,249,1,2350
CUST0044,18,6,31880
CUST0045,72,4,29604
CUST0046,136,2,4176
CUST0047,357,2,313
CUST0048,27,10,38600
CUST0049,41,1,34258
CUST0050,69,3,1694
CUST0051,383,1,1948
CUST0052,1,8,48199
CUST0053,87,1,38754
CUST0054,175,1,6639
CUST0055,274,1,1559
CUST0056,16,8,36369
CUST0057,83,4,32384
CUST0058,124,1,5265
CUST0059,302,2,2055
CUST0060,27,10,43201
CUST0061,96,2,26224
CUST0062,67,3,4361
CUST0063,398,1,3881
CUST0064,7,7,30597
CUST0065,96,3,36047
CUST0066,147,2,5166
CUST0067,231,2,2792
CUST0068,2,7,30628
CUST0069,102,2,24008
CUST0070,129,2,1766
CUST0071,205,2,3947
CUST0072,33,7,47237
CUST0073,57,4,36602
CUST0074,81,2,1081
CUST0075,374,2,2294
CUST0076,17,9,48133
CUST0077,81,2,32246
CUST0078,106,1,7480
CUST0079,206,1,1936
CUST0080,3,9,38180
CUST0081,103,3,25491
CUST0082,67,1,794
CUST0083,247,1,1489
CUST0084,49,8,45066
CUST0085,102,1,19839
CUST0086,83,1,6241
CUST0087,204,1,2394
CUST0088,10,10,28432
CUST0089,96,4,29071
CUST0090,97,3,7019
CUST0091,340,2,2578
CUST0092,29,10,39974
CUST0093,73,2,29822
CUST0094,97,3,7249
CUST0095,245,1,712
CUST0096,7,10,38472
CUST0097,60,4,29946
CUST0098,102,1,7951
CUST0099,363,2,2588
CUST0100,15,7,49739
CUST0101,60,2,38916
CUST0102,108,2,6600
CUST0103,331,1,968
CUST0104,44,8,25423
CUST0105,82,1,21424
CUST0106,116,1,1477
CUST0107,246,1,2940
CUST0108,12,6,21653
CUST0109,86,2,17358
CUST0110,114,2,2559
CUST0111,312,1,2762
CUST0112,37,7,36142
CUST0113,91,2,25975
CUST0114,156,3,4688
CUST0115,332,1,2072
CUST0116,50,7,20768
CUST0117,84,1,22860
CUST0118,151,2,2303
CUST0119,392,2,263
CUST0120,2,9,49434
CUST0121,61,1,30048
CUST0122,86,3,2701
CUST0123,305,1,833
CUST0124,46,7,25526
CUST0125,104,4,39024
CUST0126,135,1,6528
CUST0127,330,2,1730
CUST0128,11,8,43103
CUST0129,99,2,23941
CUST0130,98,2,5175
CUST0131,256,2,1656
CUST0132,18,8,48946
CUST0133,88,3,38968
CUST0134,177,1,5492
CUST0135,355,1,1385
CUST0136,12,10,31373
CUST0137,110,4,37065
CUST0138,63,1,1041
CUST0139,294,2,1586
CUST0140,29,8,42005
CUST0141,64,4,39908
CUST0142,158,2,6469
CUST0143,358,2,1176
CUST0144,6,10,41091
CUST0145,105,3,23560
CUST0146,123,1,2830
CUST0147,220,2,3462
CUST0148,48,6,48865
CUST0149,84,2,28359
CUST0150,87,2,5312
CUST0151,262,1,2174
CUST0152,35,10,25115
CUST0153,59,2,33199
CUST0154,114,1,6530
CUST0155,342,2,428
CUST0156,37,7,39979
CUST0157,92,1,24666
CUST0158,151,2,3024
CUST0159,371,2,1310
CUST0160,46,9,25577
CUST0161,96,2,35562
CUST0162,168,1,5271
CUST0163,298,2,2569
CUST0164,23,6,35429
CUST0165,100,3,26051
CUST0166,105,2,6346
CUST0167,327,2,2549
CUST0168,13,6,47926
CUST0169,71,3,21782
CUST0170,162,3,7203
CUST0171,260,2,853
CUST0172,7,6,45688
CUST0173,53,4,31694
CUST0174,86,3,2706
CUST0175,233,2,3326
CUST0176,24,8,31685
CUST0177,83,2,24244
CUST0178,178,2,1810
CUST0179,246,2,284
CUST0180,49,10,23029
CUST0181,67,2,23625
CUST0182,163,2,1183
CUST0183,211,2,2259
CUST0184,48,8,29976
CUST0185,113,3,37273
CUST0186,99,3,1295
CUST0187,288,1,2319
CUST0188,23,9,48644
CUST0189,57,3,39828
CUST0190,69,3,3751
CUST0191,375,2,3599
CUST0192,16,8,49476
CUST0193,103,3,19680
CUST0194,103,1,6255
CUST0195,392,2,1297
CUST0196,10,7,39691
CUST0197,88,2,24471
CUST0198,125,2,2188
CUST0199,323,2,906
CUST0200,13,7,47232
CUST0201,51,1,37115
CUST0202,65,1,3190
CUST0203,252,2,1614
CUST0204,34,8,43912
CUST0205,79,4,16236
CUST0206,69,2,4066
CUST0207,386,2,593
CUST0208,38,9,24704
CUST0209,68,3,24486
CUST0210,135,3,5093
CUST0211,275,1,2323
CUST0212,2,8,48913
CUST0213,109,3,33532
CUST0214,77,1,1975
CUST0215,319,1,1876
CUST0216,7,6,46559
CUST0217,87,1,19572
CUST0218,106,1,3128
CUST0219,323,1,3610
CUST0220,41,8,30952
CUST0221,41,4,25013
CUST0222,128,2,4271
CUST0223,300,2,3659
CUST0224,11,6,43517
CUST0225,73,3,26575
CUST0226,98,1,4626
CUST0227,249,2,310
CUST0228,8,7,46694
CUST0229,83,2,35796
CUST0230,122,2,4388
CUST0231,269,1,1028
CUST0232,10,8,28709
CUST0233,100,1,28028
CUST0234,160,3,1973
CUST0235,256,2,338
CUST0236,24,6,47343
CUST0237,118,4,17577
CUST0238,74,1,2149
CUST0239,351,1,1406
CUST0240,28,10,25412
CUST0241,52,1,26122
CUST0242,118,2,5082
CUST0243,242,2,639
CUST0244,4,8,35196
CUST0245,100,4,37374
CUST0246,73,2,1498
CUST0247,345,2,3873
CUST0248,6,7,44763
CUST0249,76,2,19709
CUST0250,101,1,7535
CUST0251,228,1,977
CUST0252,47,7,26817
CUST0253,72,1,19850
CUST0254,117,3,1898
CUST0255,384,2,263
CUST0256,3,6,27044
CUST0257,99,1,36917
CUST0258,91,1,993
CUST0259,383,1,469
