customer_id,recency,frequency,monetary
CUST0001,114,2,34269
CUST0002,120,1,5946
CUST0003,232,1,3953
CUST0004,5,8,47586
CUST0005,84,4,27188
CUST0006,125,2,2972
CUST0007,379,1,3717
CUST0008,31,7,25594
CUST0009,87,1,17978
CUST0010,176,3,4445
CUST0011,268,2,1573
CUST0012,8,9,37317
CUST0013,57,4,20714
CUST0014,176,1,5048
CUST0015,393,2,3924
CUST0016,8,7,41083
CUST0017,116,4,37453
CUST0018,153,1,7375
CUST0019,364,2,2830
CUST0020,18,9,24208
CUST0021,44,2,21344
CUST0022,76,1,3713
CUST0023,313,1,658
CUST0024,35,7,42309
CUST0025,78,3,20661
CUST0026,98,1,5780
CUST0027,335,1,2354
CUST0028,27,7,42069
CUST0029,97,3,38465
CUST0030,92,3,7652
CUST0031,363,1,3106
CUST0032,42,9,24948
CUST0033,57,3,30282
CUST0034,62,2,2268
CUST0035,246,1,3358
CUST0036,10,7,20001
CUST0037,114,4,31719
CUST0038,73,1,1618
CUST0039,277,1,54
CUST0040,50,7,49137
CUST0041,83,4,30868
CUST0042,133,1,3225
CUST0043,300,2,1284
CUST0044,26,8,30500
CUST0045,53,4,35284
CUST0046,98,2,2820
CUST0047,239,1,3416
CUST0048,1,10,33253
CUST0049,106,1,25814
CUST0050,70,1,672
CUST0051,200,2,3397
CUST0052,39,6,49517
CUST0053,53,1,26886
CUST0054,109,3,1767
CUST0055,270,2,3540
CUST0056,22,9,26642
CUST0057,69,1,15878
CUST0058,142,2,7362
CUST0059,309,2,2711
CUST0060,44,9,24684
CUST0061,104,1,35781
CUST0062,99,1,1650
CUST0063,310,1,1352
CUST0064,1,10,47544
CUST0065,49,1,21972
CUST0066,109,3,1135
CUST0067,264,1,179
CUST0068,19,8,47082
CUST0069,52,3,16216
CUST0070,123,3,1617
CUST0071,330,1,2646
CUST0072,19,8,35410
CUST0073,102,1,36891
CUST0074,109,1,2143
CUST0075,354,2,116
CUST0076,50,9,29123
CUST0077,120,3,24979
CUST0078,180,1,3135
CUST0079,272,2,479
CUST0080,32,9,42946
CUST0081,56,1,16880
CUST0082,149,1,6275
CUST0083,383,2,1335
CUST0084,8,7,23739
CUST0085,106,4,16625
CUST0086,101,1,4258
CUST0087,386,2,3691
CUST0088,6,7,36656
CUST0089,55,2,32534
CUST0090,104,2,4435
CUST0091,349,2,461
CUST0092,29,7,25416
CUST0093,42,3,27856
CUST0094,129,1,6357
CUST0095,227,2,543
CUST0096,27,7,34610
CUST0097,79,3,33708
CUST0098,126,2,6903
CUST0099,306,2,856
CUST0100,43,6,29654
CUST0101,54,4,30378
CUST0102,131,1,4835
CUST0103,354,1,3194
CUST0104,28,10,23091
CUST0105,83,4,34309
CUST0106,172,2,867
CUST0107,294,1,3582
CUST0108,10,6,27736
CUST0109,84,1,29611
CUST0110,100,2,2625
CUST0111,272,2,469
CUST0112,27,9,31361
CUST0113,45,3,23787
CUST0114,154,1,5351
CUST0115,229,2,3668
CUST0116,36,8,25014
CUST0117,62,2,15700
CUST0118,143,3,5296
CUST0119,332,2,605
CUST0120,12,7,44131
CUST0121,46,2,35791
CUST0122,154,1,3330
CUST0123,223,1,970
CUST0124,13,9,38718
CUST0125,80,3,35961
CUST0126,68,3,2253
CUST0127,246,2,3305
CUST0128,32,6,24119
CUST0129,47,3,32295
CUST0130,103,2,4143
CUST0131,378,1,2246
CUST0132,5,8,25895
CUST0133,90,4,17162
CUST0134,121,1,4268
CUST0135,239,2,3002
CUST0136,11,6,25906
CUST0137,88,4,25948
CUST0138,155,2,7221
CUST0139,227,2,3175
CUST0140,35,6,48727
CUST0141,74,3,23232
CUST0142,93,2,2415
CUST0143,333,1,3904
CUST0144,18,6,35464
CUST0145,77,3,29719
CUST0146,171,3,6755
CUST0147,260,1,3524
CUST0148,14,6,47507
CUST0149,103,1,33350
CUST0150,111,3,2950
CUST0151,352,1,3891
CUST0152,36,7,37975
CUST0153,76,3,29068
CUST0154,141,3,3797
CUST0155,314,2,577
CUST0156,39,9,29900
CUST0157,46,3,16732
CUST0158,180,1,3121
CUST0159,210,2,3921
CUST0160,36,9,48521
CUST0161,81,2,37586
CUST0162,103,1,7065
CUST0163,313,2,2117
CUST0164,21,10,36960
CUST0165,47,2,28434
CUST0166,78,3,5097
CUST0167,218,1,327
CUST0168,42,6,39883
CUST0169,43,4,34740
CUST0170,74,3,2272
CUST0171,201,1,399
CUST0172,50,9,29175
CUST0173,82,4,36458
CUST0174,99,3,2251
CUST0175,368,1,633
CUST0176,13,7,39316
CUST0177,106,4,30720
CUST0178,142,2,6032
CUST0179,390,2,1004
CUST0180,36,9,27776
CUST0181,103,1,25771
CUST0182,161,3,6043
CUST0183,323,1,2299
CUST0184,7,9,47226
CUST0185,114,2,38583
CUST0186,73,2,2397
CUST0187,358,1,116
CUST0188,31,8,30072
CUST0189,62,1,24897
CUST0190,115,2,3620
CUST0191,223,1,75
CUST0192,31,8,34126
CUST0193,76,1,39942
CUST0194,127,3,5926
CUST0195,216,1,1544
CUST0196,21,6,34572
CUST0197,83,1,16750
CUST0198,153,3,1513
CUST0199,236,1,2749
CUST0200,42,8,48007
CUST0201,85,2,19377
CUST0202,77,1,5716
CUST0203,201,2,1329
CUST0204,9,10,32379
CUST0205,42,2,33641
CUST0206,91,1,5139
CUST0207,338,1,730
CUST0208,16,8,22033
CUST0209,70,4,26634
CUST0210,114,3,3916
CUST0211,389,2,850
CUST0212,1,7,21293
CUST0213,50,3,33776
CUST0214,171,2,7706
CUST0215,306,2,1709
CUST0216,8,9,23394
CUST0217,42,2,39647
CUST0218,86,2,6677
CUST0219,218,1,228
CUST0220,48,6,44597
CUST0221,112,1,23577
CUST0222,126,3,2960
CUST0223,202,1,3099
CUST0224,47,7,25311
CUST0225,68,4,36316
CUST0226,168,3,2387
CUST0227,271,2,2672
CUST0228,40,7,45038
CUST0229,80,4,23560
CUST0230,93,3,3116
CUST0231,287,2,3841
CUST0232,49,9,45877
CUST0233,76,4,29827
CUST0234,157,1,5768
CUST0235,397,2,1919
CUST0236,3,7,47088
CUST0237,105,3,30101
CUST0238,179,1,4037
CUST0239,225,1,1964
CUST0240,9,8,37827
CUST0241,75,3,39926
CUST0242,111,2,691
CUST0243,277,1,906
CUST0244,43,6,34826
CUST0245,74,2,23993
CUST0246,98,3,755
CUST0247,208,1,3524
CUST0248,27,9,37629
CUST0249,104,3,39775
CUST0250,70,2,758
CUST0251,319,2,2630
CUST0252,20,8,24742
CUST0253,81,4,25289
CUST0254,146,2,4838
CUST0255,242,2,1780
CUST0256,46,9,30211
CUST0257,116,1,29199
CUST0258,167,1,6233
CUST0259,216,2,2914
CUST0260,46,7,43553
CUST0261,107,3,35413
CUST0262,102,3,3125
CUST0263,276,1,3732
CUST0264,30,7,38689
CUST0265,48,4,38964
CUST0266,61,2,5946
CUST0267,381,2,2989
CUST0268,45,10,34612
CUST0269,58,1,20713
CUST0270,80,3,2511
CUST0271,326,1,877
CUST0272,49,9,24871
CUST0273,90,2,15566
CUST0274,72,1,1315
CUST0275,252,1,1765
CUST0276,34,6,21240
CUST0277,63,4,24618
CUST0278,60,3,5061
CUST0279,221,1,372
CUST0280,11,8,34557
CUST0281,69,3,24188
CUST0282,121,3,5724
CUST0283,291,1,1122
CUST0284,25,6,41246
CUST0285,96,4,35368
CUST0286,86,3,5415
CUST0287,279,2,336
CUST0288,19,8,49443
CUST0289,82,2,15256
CUST0290,95,3,5376
CUST0291,265,2,3039
CUST0292,8,9,48465
CUST0293,103,4,34156
CUST0294,72,2,1339
CUST0295,369,1,51
CUST0296,22,10,37968
