date,sales_amount,order_count
2024-10-01,62069,197
2024-10-02,61157,142
2024-10-03,52472,226
2024-10-04,78766,246
2024-10-05,71152,331
2024-10-06,68179,212
2024-10-07,30062,172
2024-10-08,69864,204
2024-10-09,66741,310
2024-10-10,35566,123
2024-10-11,66262,263
2024-10-12,52153,159
2024-10-13,41956,332
2024-10-14,57963,144
2024-10-15,67696,201
2024-10-16,73309,100
2024-10-17,32524,264
2024-10-18,32887,164
2024-10-19,39730,281
2024-10-20,46636,150
2024-10-21,40447,117
2024-10-22,48395,137
2024-10-23,70929,201
2024-10-24,73846,220
2024-10-25,65350,254
2024-10-26,31683,129
2024-10-27,76207,304
2024-10-28,60390,102
2024-10-29,70445,154
2024-10-30,79948,119
2024-10-31,57726,321
2024-11-01,48947,341
2024-11-02,45517,150
2024-11-03,77392,153
2024-11-04,51917,166
2024-11-05,53131,331
2024-11-06,47262,300
2024-11-07,34014,220
2024-11-08,78749,144
2024-11-09,51639,331
2024-11-10,67908,167
2024-11-11,54983,264
2024-11-12,44172,231
2024-11-13,66767,327
2024-11-14,30438,172
2024-11-15,71107,333
2024-11-16,64437,180
2024-11-17,52305,223
2024-11-18,32589,314
2024-11-19,53100,309
2024-11-20,38022,283
2024-11-21,54637,216
2024-11-22,70799,275
2024-11-23,69943,171
2024-11-24,31772,151
2024-11-25,61414,341
2024-11-26,74746,203
2024-11-27,74096,256
2024-11-28,38266,264
2024-11-29,52815,349
2024-11-30,37660,134
2024-12-01,63169,184
2024-12-02,54831,335
2024-12-03,74564,284
2024-12-04,31132,323
2024-12-05,33396,234
2024-12-06,73963,219
2024-12-07,63309,186
2024-12-08,77996,156
2024-12-09,39654,330
2024-12-10,51338,173
2024-12-11,64051,313
2024-12-12,78244,103
2024-12-13,66243,278
2024-12-14,53395,340
2024-12-15,55101,235
2024-12-16,42005,239
2024-12-17,59750,284
2024-12-18,48551,223
2024-12-19,35147,307
2024-12-20,73303,127
2024-12-21,48525,106
2024-12-22,53017,155
2024-12-23,73152,111
2024-12-24,35295,185
2024-12-25,57427,184
2024-12-26,39918,137
2024-12-27,45130,277
2024-12-28,62392,299
2024-12-29,34377,313
