date,sales_amount,order_count
2022-01-01,24534,155
2022-01-02,20129,60
2022-01-03,34318,181
2022-01-04,34118,180
2022-01-05,43815,215
2022-01-06,38620,152
2022-01-07,40918,148
2022-01-08,25973,107
2022-01-09,21525,87
2022-01-10,38072,205
2022-01-11,32865,213
2022-01-12,33276,127
2022-01-13,37695,115
2022-01-14,48660,268
2022-01-15,23623,98
2022-01-16,20886,83
2022-01-17,41622,167
2022-01-18,34360,107
2022-01-19,36001,131
2022-01-20,42301,166
2022-01-21,47466,157
2022-01-22,27193,129
2022-01-23,19706,105
2022-01-24,35161,106
2022-01-25,41081,250
2022-01-26,35310,108
2022-01-27,44117,159
2022-01-28,49040,142
2022-01-29,28666,117
2022-01-30,21980,66
2022-01-31,43565,243
2022-02-01,33253,109
2022-02-02,33891,120
2022-02-03,42992,133
2022-02-04,48548,174
2022-02-05,27485,113
2022-02-06,19976,72
2022-02-07,38212,132
2022-02-08,43030,180
2022-02-09,40869,168
2022-02-10,39643,231
2022-02-11,49156,271
2022-02-12,23405,96
2022-02-13,19919,110
2022-02-14,35130,193
2022-02-15,44604,128
2022-02-16,40852,260
2022-02-17,39184,167
2022-02-18,48764,230
2022-02-19,29445,154
2022-02-20,18927,78
2022-02-21,42141,184
2022-02-22,35377,219
2022-02-23,44523,168
2022-02-24,34176,170
2022-02-25,41115,150
2022-02-26,28046,175
2022-02-27,20011,61
2022-02-28,44074,227
2022-03-01,49471,231
2022-03-02,40274,165
2022-03-03,43495,240
2022-03-04,57107,241
2022-03-05,31557,166
2022-03-06,24951,124
2022-03-07,44376,182
2022-03-08,41735,169
2022-03-09,48086,176
2022-03-10,41472,153
2022-03-11,53697,164
2022-03-12,35126,148
2022-03-13,23337,134
2022-03-14,50359,243
2022-03-15,44035,128
2022-03-16,40349,122
2022-03-17,42406,203
2022-03-18,46371,271
2022-03-19,35756,156
2022-03-20,20952,113
2022-03-21,49847,307
2022-03-22,52012,309
2022-03-23,39321,119
2022-03-24,50784,305
2022-03-25,47786,159
2022-03-26,31380,112
2022-03-27,21113,131
2022-03-28,39807,149
2022-03-29,42013,198
2022-03-30,48335,197
2022-03-31,39458,116
2022-04-01,52649,184
2022-04-02,36178,155
2022-04-03,21564,81
2022-04-04,52608,254
2022-04-05,49546,250
2022-04-06,39835,189
2022-04-07,43229,139
2022-04-08,57809,261
2022-04-09,35855,120
2022-04-10,21307,107
2022-04-11,41879,247
2022-04-12,45183,148
2022-04-13,51644,242
2022-04-14,52849,290
2022-04-15,48465,195
